favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
20,Twitter Web Client,"Thanks, Chairman @rssharma3! Enjoyed getting to know you &amp; look forward to a strong US-India working relationship. https://t.co/uwB7zUWxDC",rssharma3,False,Fri Jan 27 15:55:19 +0000 2017,12,825009300766498817
25,Twitter Web Client,"""When they go low, we go high."" RT @ubergeekseven @AjitPaiFCC is your name pronounced like a shit pie? #HopeYouGetCancer",ubergeekseven,False,Fri Jan 27 15:12:47 +0000 2017,12,824998593698344961
0,Twitter Web Client,"RT @Camaran: Thanks for that, Chairman @AjitPaiFCC. Here's a look at my daily problem: https://t.co/ZFY2IWengx",,True,Fri Jan 27 15:09:04 +0000 2017,1,824997658536259584
2,Twitter Web Client,"If you haven't heard @hankhunt2's powerful story, you can find it here (from Jan 2015). Proud to call him a friend. https://t.co/YraCEMZyVK",AjitPaiFCC,False,Fri Jan 27 15:08:12 +0000 2017,4,824997441736994816
5,Twitter Web Client,"Especially grateful for unanimous passage of #KarisLaw, led by @hankhunt2 &amp; @replouiegohmert. Direct access to 911 is critical. #MLTS",AjitPaiFCC,False,Fri Jan 27 15:05:04 +0000 2017,2,824996653480411137
26,Twitter Web Client,"Pleased that Congress has passed seven important bills on rural call completion, call spoofing, &amp; more. My thoughts: https://t.co/54WOQAZ8eo",,False,Fri Jan 27 14:54:08 +0000 2017,10,824993902662914050
19,Twitter Web Client,"Agree, @Camaran; robocalls are #1 source of FCC consumer complaints. Here's what I've said: https://t.co/e1Ljh6rPcz https://t.co/5uwC2giPSs",Camaran,False,Fri Jan 27 14:38:33 +0000 2017,9,824989980648939522
9,Twitter Web Client,"Thank you, @Call4Action_Ed! Look forward to working with you, esp. on digital empowerment (https://t.co/gjR0mzBkjg). https://t.co/ZFBAoe58Fz",Call4Action_Ed,False,Fri Jan 27 14:35:58 +0000 2017,2,824989329374248961
11,Twitter Web Client,Appreciate your work on FCC Consumer Advisory Committee! Much to do on robocalls &amp; broadband deployment. @cableBROAD https://t.co/y1MKox4xRn,cableBROAD,False,Fri Jan 27 14:34:07 +0000 2017,4,824988865081569282
0,Twitter Web Client,RT @Arquatus1Tracy: .@AjitPaiFCC Thank you for spotlighting the digital divide in rural America. 34 million Americans need access.  https:/…,,True,Fri Jan 27 14:31:06 +0000 2017,1,824988107296608256
0,Twitter Web Client,RT @bjmartino: Stockholm Syndrome https://t.co/5kM0NZLj6O,,True,Fri Jan 27 14:05:14 +0000 2017,1,824981597757771776
51,Twitter for iPhone,Proposed definition of parenthood: state in which you listen to so many Kidzbop versions of popular songs that you prefer them to originals.,,False,Fri Jan 27 13:14:41 +0000 2017,11,824968873929801728
0,Twitter for iPhone,RT @HarunMaruf: BREAKING: Major Al-Shabab attack underway on a military base run by Kenya troops in Kulbiyow town in Lower Jubba region: so…,,True,Fri Jan 27 06:07:01 +0000 2017,209,824861248491712512
18,Twitter Web Client,"Thank you, Sen. @KellyAyotte! It's been a privilege to work w/ you on issues like this: https://t.co/Pw3D5oRyLn https://t.co/oaarntxJCR",KellyAyotte,False,Thu Jan 26 21:56:56 +0000 2017,9,824737916366757888
0,Twitter Web Client,"RT @LizWFB: New FCC Chairman @AjitPaiFCC a Win For Free Speech, Free Enterprise https://t.co/XK3pHVewjQ",,True,Thu Jan 26 21:25:20 +0000 2017,13,824729963878371329
26,Twitter Web Client,"In coordination w/ NY State, we are taking fiscally responsible measures to help close #digitaldivide, esp. upstate… https://t.co/pcJV8B6oyp",AjitPaiFCC,False,Thu Jan 26 20:30:28 +0000 2017,9,824716155881455617
85,Twitter Web Client,"In FCC's 1st vote under my leadership, up to $170M to be devoted to pushing broadband to unserved parts of NY State… https://t.co/sAWdu5QI5J",,False,Thu Jan 26 20:27:14 +0000 2017,52,824715342203199489
21,Twitter Web Client,"Likewise, @SenCoryGardner! Have enjoyed visiting with you in Colorado &amp; am excited to work with you going forward. https://t.co/PeEzgvXHbs",SenCoryGardner,False,Thu Jan 26 18:19:49 +0000 2017,6,824683276111671296
21,Twitter Web Client,Superb feedback from @AmericanCable @CCAmobile @NRECANews @NTCAconnect @WISPAnews on my Digital Empowerment Agenda. https://t.co/gjR0mzBkjg,AjitPaiFCC,False,Thu Jan 26 18:18:21 +0000 2017,5,824682908220788737
50,Twitter Web Client,"Great meeting w/ @AmericanCable, @CCAmobile @NRECANews, @NTCAconnect, @WISPAnews on how FCC can help small biz boos… https://t.co/FpclyY7K2J",,False,Thu Jan 26 18:15:48 +0000 2017,32,824682264948830210
0,Twitter Web Client,"RT @DigiFuture: Sensible policies make lives better for all, says new FCC Chair @AjitPaiFCC. https://t.co/9bAEL8xIuI",,True,Thu Jan 26 17:26:36 +0000 2017,4,824669882583285762
0,Twitter Web Client,RT @SenCoryGardner: .@AjitPaiFCC is a strong choice to confront the challenges of the digital age. I look forward to working w/ him in his…,,True,Thu Jan 26 17:22:56 +0000 2017,6,824668960515903490
0,Twitter Web Client,"RT @SenCoryGardner: .@AjitPaiFCC understands the importance of connectivity, freeing up federal spectrum, &amp; reducing burdensome regs to ach…",,True,Thu Jan 26 17:22:53 +0000 2017,23,824668948499144704
0,Twitter Web Client,"RT @SenCoryGardner: Last year, I traveled with my friend @AjitPaiFCC across CO to discuss rural broadband issues w/ tech users, business ow…",,True,Thu Jan 26 17:22:49 +0000 2017,4,824668933328371712
56,Twitter Web Client,"Grateful for your support, Chairman @DarrellIssa! I look forward to working with you on those critical priorities. https://t.co/cMRLlz7Hyv",DarrellIssa,False,Thu Jan 26 14:54:43 +0000 2017,22,824631662709501955
17,Twitter Web Client,"Thank you! Proud of our work on AM revitalization, and look forward to working w/ colleagues to do more. @WITYRadio https://t.co/zhMavXuL9Y",WITYRadio,False,Thu Jan 26 14:50:17 +0000 2017,6,824630544386420737
0,Twitter for iPhone,"RT @LGBTTech: The new @FCC Chairman @AjitPaiFCC set his first meeting w/ consumer advocacy groups, including @lgbttech. #LGBTQ https://t.co…",,True,Thu Jan 26 03:15:31 +0000 2017,22,824455701087088640
0,Twitter for iPhone,RT @KellyAyotte: Congrats @AjitPaiFCC! Enjoyed working together &amp; look forward to your leadership https://t.co/slrY4PLqcb,,True,Thu Jan 26 02:39:01 +0000 2017,17,824446514290429953
0,Twitter Web Client,"RT @FCC: ICYMI: Read the statement from @AjitPaiFCC, who was named @FCC chairman by @POTUS on January 23 https://t.co/T5UWYgPcYe",,True,Thu Jan 26 02:12:07 +0000 2017,21,824439745124139009
80,Twitter Web Client,"""She turned the world on with her smile."" RIP, Mary Tyler Moore: iconic actress changed perception of women on TV. https://t.co/BRVxrQjuDS",,False,Wed Jan 25 20:58:48 +0000 2017,44,824360895686045696
0,Twitter Web Client,RT @mmtconline: @AjitPaiFCC Thank you for inviting us! We look forward to you joining our #BBSJ17 Summit &amp; working w you to close the #digi…,,True,Wed Jan 25 20:31:48 +0000 2017,11,824354101601456138
143,Twitter Web Client,"Thank you, Sen. @MarcoRubio! Look forward to working with you on #WiFi spectrum, entrepreneurship, &amp; much more. #FCC https://t.co/V8ZDeNp9AY",,False,Wed Jan 25 20:29:20 +0000 2017,54,824353481591050242
31,Twitter Web Client,Appreciate @mmtconline @httponline @LGBTTech @Project_GOAL's focus on closing #digitaldivide &amp; feedback on my Digit… https://t.co/mYbgaMZZXs,AjitPaiFCC,False,Wed Jan 25 18:21:16 +0000 2017,13,824321252823273472
106,Twitter Web Client,"Pleased to host my first official meeting as @FCC Chairman with consumer advocates @mmtconline, @httponline,… https://t.co/aiXEJ8eL1s",,False,Wed Jan 25 18:18:07 +0000 2017,44,824320458128556032
21,Twitter Web Client,"So grateful for your support, @RepLynnJenkins! I've enjoyed working with you here &amp; in the Second District. https://t.co/D3SQqKGBZD",RepLynnJenkins,False,Wed Jan 25 18:05:20 +0000 2017,9,824317241390989325
132,Twitter Web Client,"[Sitting on 3036 @Twitter notifications]
Me: ""I'm not going to wade through all that.""
Me to me: ""CLICK ON THEM ALL… https://t.co/IzHoYJmmKH",,False,Wed Jan 25 14:42:41 +0000 2017,28,824266244941606912
0,Twitter Web Client,RT @RameshPonnuru: I am of course thrilled about the @AjitPaiFCC appointment as a fellow. . . Kansan.,,True,Wed Jan 25 06:05:10 +0000 2017,42,824136006639226880
24,Twitter Web Client,"Le nouveau régime highly encourages good puns. (Not 100% sure if this one qualifies, but thank you, @EdWhelanEPPC!) https://t.co/TKVvD83Bzw",EdWhelanEPPC,False,Wed Jan 25 02:25:25 +0000 2017,5,824080705307213825
32,Twitter Web Client,Thanks very much! Long admired your work on &amp; off @WheelofFortune. RT @patsajak @AjitPaiFCC May I offer my congratulations and best wishes.,patsajak,False,Wed Jan 25 02:02:33 +0000 2017,6,824074949119868928
356,Twitter Web Client,I'm ever grateful that this country has given me and my family the opportunity to dream big. #OnlyinAmerica… https://t.co/MQdpTl67uu,AjitPaiFCC,False,Tue Jan 24 21:45:00 +0000 2017,153,824010136155029506
93,Twitter Web Client,I had the privilege of sharing my thoughts with the @FCC's terrific staff earlier today. Here's what I said:… https://t.co/97TYYSrJqf,AjitPaiFCC,False,Tue Jan 24 21:00:17 +0000 2017,45,823998884712161282
