favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
10,Twitter Web Client,Pruitt will put EPA back on track https://t.co/gdeUCzgSER,,False,Tue Jan 17 19:16:55 +0000 2017,3,821436154918670336
10,Twitter Web Client,Citizens United is proud to have supported Scott Pruitt for EPA Chief.  Now on to reforming EPA!  https://t.co/EhuFFGaP1b,,False,Fri Feb 17 18:53:01 +0000 2017,2,832664161951768577
5,Twitter Web Client,No place for these hateful attacks. https://t.co/Nxihxb5Yx1,,False,Thu Feb 02 19:07:59 +0000 2017,5,827232113795727360
4,Twitter Web Client,"Our spending problem isn't going away:  ""Another warning on US national debt for our politicians to ignore"" https://t.co/vzhzHF4JDk",,False,Thu Feb 02 14:55:44 +0000 2017,1,827168630018281472
8,Twitter for Android,IRS attorney busted for alleged meth dealer side gig https://t.co/WCFYKeVIxg,,False,Fri Feb 03 13:30:17 +0000 2017,6,827509516174520320
5,Twitter Web Client,"""Torchbearer"" starring Duck Commander Phil Robertson is now available on DVD!
https://t.co/ip2T54b5Vn https://t.co/FQ56xkBC6p",,False,Wed Feb 15 17:47:47 +0000 2017,0,831922971950403585
12,Twitter for Android,"No more excuses, Republicans https://t.co/0NQ42Iw7e2",,False,Wed Jan 11 19:53:45 +0000 2017,2,819271095433986048
10,Twitter Web Client,Tax Reform.  Border Security.  Obamacare Repeal.  Term Limits.  Take Action: Citizens United for the Trump Agenda/ https://t.co/udJLEtHB1A,,False,Tue Feb 14 20:52:00 +0000 2017,4,831606944041402370
0,Twitter for Android,RT @CharlesHamerle: Want to get a big bang for your buck? Give to @Citizens_United then tell a Liberal. #MAGA https://t.co/TRIaURNySl,,True,Wed Feb 15 20:39:27 +0000 2017,3,831966173998751745
7,Twitter for Android,"49 - 37 say confirm Gorsuch!  ""Fox News poll: Almost half of voters favor Gorsuch confirmation"" https://t.co/F6kBLK3Bso",,False,Thu Feb 16 12:57:47 +0000 2017,2,832212378175598593
5,Twitter Web Client,"Duck Commander Phil Robertson's new movie ""Torchbearer"" is Available On Demand !!!  Learn more:  https://t.co/5TfxLh5V1R  !!!",,False,Tue Jan 03 18:08:53 +0000 2017,0,816345601717764100
23,Twitter Web Client,Don't let mainstream media distract you from POTUS' common sense agenda. Tax reform.  Repeal/Replace O-care.  Borde… https://t.co/rXSF4ON6sf,,False,Fri Feb 17 15:58:41 +0000 2017,15,832620291117326336
9,Twitter Web Client,"Confirm Scott Pruitt For EPA Chief! Citizens United Radio Ad - ""Defending Our Rights - Missouri"" https://t.co/hszHzqHsNE",,False,Mon Jan 23 15:00:21 +0000 2017,3,823545916598665219
15,Twitter Web Client,Sen. Susan Collins pushes approval of Jeff Sessions for attorney general https://t.co/zALKKqP93Q,,False,Mon Jan 09 15:08:32 +0000 2017,10,818474542528135168
7,Twitter Web Client,Raises a good question.  Is there anything ethical about a politicized U.S. gov ethics office? https://t.co/xnbNJBphBI,,False,Thu Jan 12 21:39:00 +0000 2017,5,819659973185642501
16,Twitter for Android,"It's time!  ""Cruz, DeSantis push for congressional term limits"" https://t.co/7vRqF2hIeg",,False,Wed Jan 04 14:56:25 +0000 2017,8,816659554679328768
20,Twitter Web Client,We can stop sanctuary cities https://t.co/RGcahcSZfm,,False,Mon Jan 23 16:53:49 +0000 2017,7,823574471567089664
6,Twitter Web Client,https://t.co/ss470BxDnO,,False,Wed Jan 18 16:49:27 +0000 2017,3,821761429569150976
3,Twitter Web Client,"Good question:  ""In Neil Gorsuch vote, will Michael Bennet be a partisan, or a statesman?"" https://t.co/DchlVtUJJm",,False,Tue Feb 14 14:40:18 +0000 2017,1,831513401486614528
6,Twitter Web Client,"Madness:  ""Report: Senate Dems preparing to filibuster Trump’s SCOTUS nominee — no matter who it is"" - Hot Air https://t.co/xQbT2ctUk0",,False,Tue Jan 31 19:13:45 +0000 2017,4,826508786550657025
8,Twitter Web Client,"Respected Former Democrat Senator:  ""Sam Nunn vouches for Rex Tillerson: ‘Well prepared to do what is essential’"" https://t.co/17wCdeee1R",,False,Wed Jan 11 15:09:22 +0000 2017,2,819199527995506696
10,Twitter for Android,Several GOP States Move to Block Their Own Funding to Sanctuary Cities https://t.co/TqV7GcO5Fv,,False,Mon Feb 13 11:57:58 +0000 2017,7,831110163360862208
10,Twitter Web Client,"Agreed:  ""Mitch McConnell: Democrats, ditch the apocalyptic rhetoric on Judge Gorsuch"" https://t.co/mwUY8t2MYo",,False,Wed Feb 01 19:41:33 +0000 2017,2,826878173698805760
10,Twitter Web Client,Take Action: Support Our Petition For Congressional Term Limits/ https://t.co/iUWW13emwH,,False,Mon Feb 13 17:42:59 +0000 2017,7,831196987454275585
4,Twitter for Android,New CU op-ed: Foreign Emoluments Clause Lawsuit Against Trump Unlikely To Find Traction In Court https://t.co/8Nw4t0a7MJ,,False,Sat Feb 11 12:25:41 +0000 2017,3,830392362979512321
6,Twitter Web Client,America must prioritize our heroic veterans and fix the VA now. https://t.co/kRO6z7vL5B,,False,Fri Jan 13 14:22:13 +0000 2017,1,819912440095850498
5,Twitter Web Client,"""Of Course Schilling Should Be in the Hall of Fame"" https://t.co/M6PazhE6kh",,False,Wed Feb 08 19:13:56 +0000 2017,0,829407936736854016
7,Twitter Web Client,"New CU Video - ""Confirm Gorsuch""  Highly qualified mainstream Constitution defender. Deserves bipartisan support.  https://t.co/2itRkcEwOE",,False,Wed Feb 08 16:03:25 +0000 2017,1,829359991094177794
12,Twitter Web Client,Citizens United joins Amicus Brief in 9th Circuit to rehear arguments re: POTUS immigration order https://t.co/39mB8aLHoY,,False,Fri Feb 17 19:29:27 +0000 2017,16,832673332319309824
15,Twitter Web Client,Mick Mulvaney a great conservative was confirmed as Budget Director today despite John McCain https://t.co/gx5szj9CEv via @usatoday,,False,Thu Feb 16 17:21:39 +0000 2017,19,832278781704409088
9,Twitter Web Client,Scott Pruitt will bring needed balance to EPA https://t.co/7cPxRrPQmg,,False,Tue Jan 24 18:01:59 +0000 2017,5,823954010541527040
