favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter Web Client,"RT @dbongino: MONEYBOMB today. Please contribute, RT &amp; help us take back our Senate seat. https://t.co/aGgznuVe #realchange #tcot #tlot",,True,Thu Oct 18 13:55:11 +0000 2012,16,258929222544920577
0,Twitter for Websites,@TomSmithforPA GOP Senate Poll Topline Report 3-28-2012 (3) http://t.co/Sro4YpSc,TomSmithforPA,False,Thu Mar 29 12:47:08 +0000 2012,0,185347359729922048
0,Twitter for Android,"RT @Citizens_United: Leaders who tackle our #debt  crisis will be the ones remembered for saving future generations #tcot  #BigGovernment
h…",,True,Mon Nov 02 14:25:07 +0000 2015,5,661187286273531904
0,Twitter Web Client,.@JonBruning will add his voice to next week's SCOTUS oral arguments on constitutionality of Obamacare http://t.co/sNztD4D1,,False,Thu Mar 22 17:44:05 +0000 2012,1,182885371808448513
0,TweetDeck,RNC film festivals tout message on the big screen http://t.co/sKf0sNNj via @TB_Times,,False,Tue Aug 28 14:44:18 +0000 2012,1,240459800180293632
1,Twitter Web Client,".@HillaryClinton 's email scandal is completely out of control! What do you have to say for yourself,#PatrickKennedy https://t.co/ANxe0pc2VR",,False,Thu Aug 27 16:42:48 +0000 2015,3,636941946397794304
0,TweetDeck,"RT @Citizens_United: Register to attend screening of ""The Hope and The Change"" and all our films at the RNC: http://t.co/SyAfryhM",,True,Tue Aug 21 21:25:03 +0000 2012,2,238023937223700481
0,Twitter Web Client,#FF @Citizens_United,,False,Fri Mar 30 17:00:55 +0000 2012,0,185773614140895235
0,Twitter Web Client,Ohio Issue 2: Citizens United Launches Big Ad Buy http://t.co/sOBNOEay,,False,Thu Nov 03 22:20:12 +0000 2011,2,132220560196370432
0,Twitter for Android,RT @Citizens_United: Be sure to watch @HillaryClinton testify with @TGowdySC. It's time we get the answers we all want. #tcot #Benghazi  ht…,,True,Thu Oct 22 13:57:15 +0000 2015,3,657194005164367872
0,TweetDeck,"Tune in now to @NewsmaxTV to catch ""Broken Promises: The UN at 60"" a CU Productions original movie.  Here's how: http://t.co/MEN90vyQmP",,False,Sun Sep 14 03:00:07 +0000 2014,1,510986320039006208
1,Twitter Web Client,.@dbongino has served his community and country in law enforcement and he will bring that same patriotic spirit of service to the Senate,,False,Mon Mar 19 16:31:02 +0000 2012,1,181779825726472193
0,Twitter Web Client,.@marklevinshow knows we must educate our youth to have a chance against tyranny. Pre-order his book today! http://t.co/PeN9OoUM4d #tcot,,False,Tue Jul 21 21:53:55 +0000 2015,1,623611891152232450
0,Twitter Web Client,Liberals don’t know how to get an economy moving again and it appears Michiganders are ready to try something else.,,False,Fri Aug 19 20:02:26 +0000 2011,0,104644409315958784
0,Twitter Web Client,"RT @bankofkev: @David_Bossie congratulations on the distribution deal with Magnet Releasing for ""#OccupyUnmasked""",,True,Mon Aug 06 20:22:27 +0000 2012,2,232572366843166721
1,TweetDeck,"Tune in now to @NewsmaxTV to catch ""Our Sacred Honor"" a CU Productions original movie.Here's how: http://t.co/MEN90vyQmP #tcot",,False,Sun Oct 26 03:00:15 +0000 2014,0,526206644863004673
1,Twitter Web Client,"It's like a bad onion: the more we peel, the worse it smells.
#HillaryClinton / @StateDept are Reckless. http://t.co/fJ6QKdIDXs  #tcot",,False,Wed Aug 19 16:09:52 +0000 2015,2,634034555754815488
0,Twitter Web Client,"RT @Citizens_United: GREAT AMERICAN - Chris Cox mows, cleans grounds of Lincoln Memorial | http://t.co/RVVdpTl9h1: http://t.co/CEA0Vz1fVW v…",,True,Wed Oct 09 21:51:29 +0000 2013,17,388059164884221952
0,Twitter for Websites,Rick Santorum had a great night last night that can’t be overlooked in the weeks ahead.\r\n http://t.co/lmiB4ikV via @POLITICO,,False,Wed Feb 08 18:44:42 +0000 2012,0,167317950091636738
0,Twitter Web Client,"Dick Lugar could have showed some spine in voting ""no"" on a piece of legislation that does not solve our nation’s debt crisis",,False,Wed Aug 03 14:56:28 +0000 2011,0,98769206031552512
0,Twitter for Websites,Mark Cuban Company to Release Andrew Breitbart Film http://t.co/nn62pSmO via @THR,,False,Tue Aug 07 01:12:46 +0000 2012,15,232645426967347200
0,Twitter Web Client,How many more millions in taxpayer funds will Obama propose to waste tonight on insolvent “green job” companies?,,False,Thu Sep 08 20:20:13 +0000 2011,2,111896645511290880
0,Twitter for Android,"RT @Citizens_United: Citizens United is thankful for our men and women in uniform!  
RT if you agree! #Thanksgiving #HomeoftheBrave https:/…",,True,Wed Nov 25 17:18:19 +0000 2015,3,669565793080864771
0,Twitter Web Client,Founders created our republic with a system of checks and balances to prevent such abuses of power http://t.co/VlLZPFic,,False,Tue Jan 10 14:55:43 +0000 2012,0,156751077537091585
0,Twitter for Android,RT @Citizens_United: The #Clinton's think the American people are stupid. Her email scandal isn't confusing at all. https://t.co/EUZf9gQUzQ…,,True,Fri Sep 04 19:41:16 +0000 2015,1,639885962382864384
1,Twitter for Websites,Nellie Gray dedicated her life to the unborn and was a champion for the pro-life cause http://t.co/U5B5CcUG via @sharethis #prolife,,False,Tue Aug 14 16:29:30 +0000 2012,2,235412845381169153
0,TweetDeck,"Tune in now to @NewsmaxTV to catch ""Ronald Reagan: Rendezvous w/ Destiny"" a CU Prod. original movie.  Here's how: http://t.co/MEN90vhNkP",,False,Sun Jul 27 13:00:23 +0000 2014,3,493380376736190465
0,Twitter Web Client,How was Vegas Mr. President #Debates,,False,Wed Oct 17 02:11:24 +0000 2012,3,258389720667656192
0,Twitter Web Client,.@Raul_Labrador .@CynthiaLummis .@RepThomasMassie .@RepAlexMooney .@RepMickMulvaney .@RepGaryPalmer .@RepStevePearce https://t.co/fQFOam6juT,,False,Wed Jun 24 17:50:20 +0000 2015,0,613766117836910592
0,TweetDeck,"Tune in now to @NewsmaxTV to catch ""Hillary The Movie"" a CU Productions original http://t.co/n2RFBqoQ6G's how: http://t.co/MEN90vQruT #tcot",,False,Sun Nov 23 14:00:15 +0000 2014,0,536519598669967360
0,TweetDeck,"Tune in now to @NewsmaxTV to catch ""ACLU: At War With America"" a CU Productions original movie.  Here's how: http://t.co/MEN90vhNkP #tcot",,False,Sun Jul 27 09:00:04 +0000 2014,0,493319899993763841
0,Twitter Web Client,RT @C4Liberty: RT if you #StandwithRand in demanding answers from the White House on unconstitutional drone strikes in US.,,True,Wed Mar 06 23:09:52 +0000 2013,9272,309440723772641282
6,Twitter Web Client,Great victory for @BarbaraComstock in the #VA10 primary today! On to November!,,False,Sat Apr 26 20:41:07 +0000 2014,13,460156641044738048
0,TweetDeck,"RT @ryanobles: According to @Citizens_United in roughly 36 hours there have 19,500 views of their ""Fast Terry"" documentary.",,False,Wed Jul 31 15:02:12 +0000 2013,0,362589013296676866
0,TweetCaster for iOS,About to go live on http://t.co/IaOJlxSDFA from #cpac2013. Tune in!,,False,Fri Mar 15 15:39:12 +0000 2013,2,312588801488846848
0,TweetDeck,Hillary Clinton's Enemies List- http://t.co/TGp5ivQw69 #tcot,,False,Mon Jan 13 16:52:45 +0000 2014,2,422773221889683456
0,TweetDeck,RT @lheal: #OccupyUnmasked Extended ovation for the @AndrewBreitbart @Citizens_United film.,,True,Thu Aug 30 19:42:53 +0000 2012,3,241259716980912128
0,Twitter Web Client,"Dems' ""tax the rich"" proposal is class warfare meant simply to score political points in an election year, not solve our economic problems",,False,Tue Oct 11 21:38:36 +0000 2011,2,123875170464186368
0,Twitter Web Client,@chetmcdoniel We look forward to seeing you in Iowa on Wednesday for the premiere!,chetmcdoniel,False,Mon Dec 12 20:18:51 +0000 2011,0,146323149145911296
0,TweetDeck,"Tune in now to @NewsmaxTV to catch ""Celsius 41.11"" a CU Productions original movie.  Here's how: http://t.co/MEN90vyQmP #tcot",,False,Sat Aug 30 14:30:09 +0000 2014,0,505724157477154817
1,TweetDeck,"Tune in now to @NewsmaxTV to catch ""America At Risk"" a CU Productions original movie.  Here's how: http://t.co/MEN90vhNkP #tcot",,False,Mon Jul 21 02:00:03 +0000 2014,0,491039873646612480
0,TweetDeck,We must never forget the sacrifices made on 9/11 nor the sacrifices made by our military in the months and years following to keep us safe.,,False,Sun Sep 11 13:51:04 +0000 2011,0,112885874508836864
0,TweetDeck,"RT @ElephantConsult: Don't miss tonight's episode of PEP Talk with Citizens United Founder and Superhero, Dave Bossie. Tune in at 8 pm.  ...",,True,Tue May 29 21:11:51 +0000 2012,2,207580035043954688
0,Twitter for Websites,Poll finds Akin with slight lead over McCaskill - The Hill's Ballot Box http://t.co/avTCSp4O,,False,Mon Oct 15 18:12:44 +0000 2012,1,257906871766237185
0,Twitter Web Client,"I guess ""change you can believe in"" really means “show me the money.” http://t.co/pO4p6vAa",,False,Tue Oct 25 21:06:08 +0000 2011,0,128940429537312768
0,Echofon,Was stuck at Cleveland airport with Paul Begala.,,False,Tue Oct 04 01:23:34 +0000 2011,0,121032679301980162
0,Twitter for BlackBerry®,RT @Citizens_United: Watch @David_Bossie and @StephenBannon on Fox News NOW!,,True,Mon Aug 27 17:46:53 +0000 2012,2,240143360222957568
0,Twitter Web Client,.@VoteJesseKelly Will Repeal Obamacare  http://t.co/ep33uQDS,,False,Tue May 15 15:00:23 +0000 2012,0,202413122915532801
1,TweetDeck,Citizens United and Steve King to host 'Iowa Freedom Summit' in January http://t.co/ebuYZs1oNa #tcot #iapolitics,,False,Tue Nov 18 15:00:20 +0000 2014,2,534722780718448641
0,Twitter Web Client,"For the 2011-2012 election cycle to date, CUPVF has made direct contributions totaling $823,500 to candidates and PACs.",,False,Tue Sep 25 21:55:26 +0000 2012,0,250715159402786816
0,TweetDeck,Boehner and the Ohio Connection- http://t.co/dtCB5Wgmg1,,False,Thu Sep 26 18:08:03 +0000 2013,0,383291893653979137
0,Twitter Web Client,"""@LoisLernerIRS /Obama Adm. efforts to silence conserv. nonprofits as result of our SC decision are disgusting"" http://t.co/w1OrUGlneq #tcot",,False,Fri Aug 14 15:46:46 +0000 2015,1,632216802307801089
0,Twitter for Websites,Our Conservative Nation http://t.co/fNTYq9qE via @dcagle,,False,Wed Jan 18 14:36:04 +0000 2012,1,159645233871732736
0,Twitter for Websites,@DavidSchweikert Endorsed By Citizens United Political Victory Fund In Arizona’s 6th Congressional District http://t.co/13mAtV9o,DavidSchweikert,False,Mon Apr 02 13:21:45 +0000 2012,0,186805623315382272
0,Twitter for Websites,Citizens United for Neumann http://t.co/sdmjYrL4 via @POLITICO @Neumann4WI,,False,Tue Apr 10 12:48:52 +0000 2012,0,189696451046158336
0,TweetDeck,There is only one true conservative in the #NESen race - and his name is NOT Sid Dinsdale. http://t.co/yRsis2X91u #tcot @Sasse4Senate,,False,Fri May 09 18:27:00 +0000 2014,1,464833932303663104
1,Twitter Web Client,Will be on with @scotthennen at 12 to discuss Dems blaming @Citizens_United for  #WIrecall,,False,Thu Jun 07 15:23:11 +0000 2012,1,210753781628018688
0,Twitter Web Client,".@GovWalker sign the 20 wk #abortion bill into law! W #PlannedParenthood news, isn't it time #senate / WH vote? http://t.co/iz5iUC02db #tcot",,False,Tue Jul 21 16:55:11 +0000 2015,0,623536712380235776
0,Twitter Web Client,.@MiaBLove record of increasing taxes exposed; support true conservative @CarlWimmer in UT-4 http://t.co/6Uh48dz4,,False,Thu Apr 19 17:15:29 +0000 2012,0,193025034028191744
0,Twitter Web Client,RT @Citizens_United: Obama’s Economic Policies Aren’t Working http://t.co/LDBxSj3w,,True,Fri Jun 01 15:01:16 +0000 2012,2,208573936160612352
0,TweetDeck,"Tune in now to @NewsmaxTV to catch ""Rocky Mountain Heist"" a CU Productions original movie.Here's how http://t.co/MEN90vyQmP @michellemalkin",,False,Sun Nov 02 00:00:15 +0000 2014,1,528698061321535489
