favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter for iPad,"RT @SenJohnMcCain: Full stmt w/ @LindseyGrahamSC on decision, after careful consideration, to support nom of Rex Tillerson to Sec State htt…",,True,Sun Jan 22 15:53:39 +0000 2017,378,823196940393390081
113,TweetDeck,Heading to the Senate floor to speak about Coach Dabo Swinney and the 2017 College Football Playoff National Champions @ClemsonFB.,,False,Wed Jan 11 20:58:39 +0000 2017,26,819287429282676742
1380,Twitter for iPad,I will vote to confirm Rex Tillerson as Secretary of State.,,False,Sun Jan 22 15:44:24 +0000 2017,624,823194612487557121
12,TweetDeck,Speaking with Brian @Kilmeade on Fox News Radio now.  LISTEN LIVE: https://t.co/XUngjoMIUQ,,False,Tue Jan 03 15:32:01 +0000 2017,4,816306127105392640
20,Twitter for iPad,We'll be starting in about 10 minutes.  Will talk about Scott Pruitt for EPA then take a few quick questions.… https://t.co/yhuvJfrvvC,,False,Thu Jan 19 16:22:29 +0000 2017,3,822117033827532800
2346,TweetDeck,Assange has a record of undermining the United States.  He's no friend to America or democracy.,,False,Wed Jan 04 16:36:41 +0000 2017,1045,816684789117976577
191,TweetDeck,A great decision by President @realDonaldTrump to approve the Keystone XL and Dakota Access pipeline projects. https://t.co/jDfo5fggGH,,False,Wed Jan 25 02:13:01 +0000 2017,43,824077584203976704
0,Twitter for iPad,RT @twzeigler: @LindseyGrahamSC presents signed bill authorizing #chs52 deepening project to @SCPorts w/ Maersk ship sailing by in the back…,,True,Mon Jan 23 18:26:04 +0000 2017,14,823597684217016320
133,TweetDeck,https://t.co/rHZwxYaHsj,,False,Tue Jan 17 23:01:21 +0000 2017,75,821492635965816832
0,TweetDeck,RT @politico: .@LindseyGrahamSC on GOP move to gut ethics panel: 'Dumbest fricking thing' https://t.co/8bL2WbQwWl https://t.co/vIzFjZh0W4,,True,Tue Jan 03 17:54:41 +0000 2017,361,816342029785505792
34,TweetDeck,@nikkihaley is the right person at the right time to serve as US Ambassador to the United Nations.,nikkihaley,False,Wed Jan 18 15:16:40 +0000 2017,16,821738080621199361
0,Twitter for iPad,"RT @FaceTheNation: .@LindseyGrahamSC says that if we don’t punish Russia, then Iran and even China could come into the next election.",,True,Sun Jan 22 15:50:43 +0000 2017,165,823196201394798592
