favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter for iPhone,RT @realDonaldTrump: Where was all the outrage from Democrats and the opposition party (the media) when our jobs were fleeing our country?,,True,Mon Jan 30 14:25:11 +0000 2017,33287,826073779029827584
43450,Twitter for iPhone,"Senate Dems protest to keep the failed status quo. Betsy DeVos is a reformer, and she is going to be a great Education Sec. for our kids!",,False,Tue Feb 07 13:14:32 +0000 2017,8929,828955104082526208
0,Twitter for iPhone,RT @realDonaldTrump: MAKE AMERICA GREAT AGAIN!,,True,Sun Feb 05 00:07:35 +0000 2017,67550,828032285647761409
0,Twitter for iPhone,RT @VP: We hosted some of the country’s largest manufacturers for small working group sessions to discuss the need to boost job creation in…,,True,Thu Feb 23 18:03:25 +0000 2017,3461,834826008868040704
48328,Twitter for iPhone,I will be America's greatest defender and most loyal champion. -DJT https://t.co/wukJ6YqvLu,,False,Sat Jan 28 03:43:01 +0000 2017,10483,825187398644547584
0,Twitter for iPhone,"RT @SenateMajLdr: The Senate just confirmed @SenatorSessions as our Attorney General. @POTUS made an excellent choice, and our nation will…",,True,Thu Feb 09 02:57:02 +0000 2017,3780,829524479193788416
20745,Twitter for iPhone,.@VP Pence on the #economy: https://t.co/3sZaoWh3au,,False,Fri Feb 03 23:02:26 +0000 2017,4391,827653502117765122
0,Twitter for iPhone,"RT @realDonaldTrump: Great meeting with automobile industry leaders at the @WhiteHouse this morning. Together, we will #MAGA! https://t.co/…",,True,Tue Jan 24 17:04:13 +0000 2017,16604,823939474430328832
0,Twitter for iPhone,RT @realDonaldTrump: Congratulations Secretary Mattis! https://t.co/mkuhbegzqS,,True,Fri Jan 27 22:01:05 +0000 2017,19375,825101348802789376
0,Twitter for iPhone,RT @realDonaldTrump: Statement on International Holocaust Remembrance Day: https://t.co/KjU0MOxCHk,,True,Fri Jan 27 20:20:37 +0000 2017,10875,825076062417723392
16744,Twitter for iPhone,"'President Trump Releases National School Choice Week Proclamation'
https://t.co/BUbZ4D1umR",,False,Thu Jan 26 23:49:16 +0000 2017,4674,824766185501757440
0,Twitter for iPhone,RT @realDonaldTrump: Thank you to Prime Minister of Australia for telling the truth about our very civil conversation that FAKE NEWS media…,,True,Fri Feb 03 11:56:29 +0000 2017,33281,827485910858096640
