favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter for iPhone,"RT @VoteTrumpPics: Dancing with US troop at the Armed Services Ball.🎉

THANK YOU to all troops everywhere. We are grateful for your service…",,True,Sun Jan 22 19:39:48 +0000 2017,1674,823253851436437504
330,Twitter for iPhone,"""You do NOT mess with John Wayne!""

https://t.co/BBRibUwBxM

@seanhannity @realDonaldTrump @POTUS @VP @mike_pence @KellyannePolls",,False,Sat Jan 21 07:33:01 +0000 2017,112,822708565437796352
2305,Twitter for iPhone,"Read it. 

Then read it AGAIN. 

And then SAVOR it. 

https://t.co/RiRRB7i2DV",,False,Sat Jan 21 07:21:40 +0000 2017,1217,822705706839265280
458,Twitter for iPhone,"Don't mention it. 

ONE TEAM. https://t.co/CUgx3j7eQE",,False,Sat Jan 21 07:11:18 +0000 2017,77,822703100003844096
6,Twitter for iPhone,@pbshuttleworth Thank you!!,pbshuttleworth,False,Sat Jan 21 07:10:09 +0000 2017,0,822702810370363392
5,Twitter for iPhone,@TRONSHOW Cheers!,TRONSHOW,False,Sat Jan 21 07:09:31 +0000 2017,0,822702650017849344
187,Twitter for iPhone,Indeed it is. https://t.co/vgzF7qskAA,,False,Sat Jan 21 07:08:33 +0000 2017,37,822702405267623936
7,Twitter for iPhone,@cullenhill0726 @seanhannity @PastorDScott @katharinegorka Yes she is. Thank you. And you and yours.,cullenhill0726,False,Sat Jan 21 07:07:37 +0000 2017,0,822702171896610817
0,Twitter for iPhone,"RT @Belair19571988: @SebGorka @seanhannity @FoxNews @GeraldoRivera @ainsleyearhardt @PastorDScott 

""The Adults Are Back...The Alpha Males…",,True,Sat Jan 21 07:07:11 +0000 2017,54,822702064669229056
5,Twitter for iPhone,@T64Pamela @seanhannity @FoxNews @GeraldoRivera @ainsleyearhardt Thank you!,T64Pamela,False,Sat Jan 21 07:07:11 +0000 2017,1,822702064673366016
3,Twitter for iPhone,@katkars10 @seanhannity @FoxNews @GeraldoRivera @ainsleyearhardt Why thank you!,katkars10,False,Sat Jan 21 07:04:52 +0000 2017,0,822701480998240256
3,Twitter for iPhone,@ki7re @FoxNews @FoxBusiness @seanhannity V kind.,ki7re,False,Sat Jan 21 07:02:34 +0000 2017,1,822700899575463938
4,Twitter for iPhone,@InTheYear1611 @FoxNews @FoxBusiness @seanhannity Appreciate the assist!,InTheYear1611,False,Sat Jan 21 07:02:20 +0000 2017,0,822700841295638529
1245,Twitter for iPhone,"What a Day!
Followed by what a night!

Begun at Liberty Ball w my Bride &amp; our children.
Closed w live hit with… https://t.co/J5GpR0KlFp",,False,Sat Jan 21 07:01:21 +0000 2017,295,822700594590785536
473,Twitter for iPhone,"""The DON is back!""

#LibertyBall 
#MAGA https://t.co/EX9ZG1Q3nV",,False,Sat Jan 21 06:54:28 +0000 2017,90,822698863349862400
1172,Twitter for iPhone,"The 1st Couple have the 1st Dance. 

Of course: ""I did it my way!"" https://t.co/jp2VqvOzot",,False,Sat Jan 21 06:54:19 +0000 2017,202,822698824791638016
617,Twitter for iPhone,"People at @FoxNews &amp; @FoxBusiness r the very BEST.

And so friendly!

Here's my son Paul getting to meet… https://t.co/ySZoNDxBY6",,False,Sat Jan 21 06:44:55 +0000 2017,96,822696460441501696
527,Twitter for iPhone,"No test today!!

Waiting in line to be on @seanhannity show. 

@FoxNews 
@GeraldoRivera 
@ainsleyearhardt https://t.co/dqmBcrM1Ga",,False,Sat Jan 21 04:16:00 +0000 2017,77,822658983563579395
1378,Twitter for iPhone,"The 1st Couple have arrived!

#libertyball 
#MAGA https://t.co/yJjZ6yZiCT",,False,Sat Jan 21 02:37:05 +0000 2017,294,822634090188931073
642,Twitter for iPhone,"The #LIBERTBALL has begun!

Gorka Clan is the House. https://t.co/4qSDB2GHdx",,False,Sat Jan 21 01:15:28 +0000 2017,92,822613552024453120
18,Twitter for iPhone,@jimkeener Don't mention is. And God Bless you and yours!,jimkeener,False,Sat Jan 21 00:21:07 +0000 2017,1,822599870922063873
318,Twitter for iPhone,"Thank you. 
Important! https://t.co/Sh1YVmiWZ8",,False,Sat Jan 21 00:19:51 +0000 2017,87,822599552175919106
3911,Twitter for iPhone,"Marines on the Beach!!

SECDEF Mattis and SECHS Kelly confirmed. 

Onward!! https://t.co/0GBED0tHFk",,False,Fri Jan 20 23:33:57 +0000 2017,1501,822588003688349696
3756,Twitter for iPhone,"The Nightmare is over. 

Let the Republic breathe free again. 

@realDonaldTrump @POTUS @mike_pence @VP… https://t.co/m22sxvPcOS",,False,Fri Jan 20 23:25:35 +0000 2017,1794,822585898726461441
