favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
84,Twitter Web Client,We seated a new #Congress yesterday. We’ll inaugurate @realDonaldTrump later this month. We now stand on the horizon of a new era.,,False,Wed Jan 04 17:04:08 +0000 2017,27,816691697509957632
66,Twitter Web Client,"20 GOVERNORS: ‘@BetsyDeVos will fight to streamline the Federal Ed bureaucracy, return authority back to states...’ https://t.co/4GCcN4bMcD",,False,Tue Jan 17 22:32:16 +0000 2017,30,821485317983268864
544,Twitter Web Client,"These Georgians believe that Dr. @RepTomPrice is an ""exceptional choice"" to lead @HHSGov. I agree. https://t.co/PcWTEewH2y",,False,Fri Jan 06 14:41:58 +0000 2017,212,817380694838169601
0,Twitter Web Client,RT @JCCIC: JCCIC Member @SenateMajLdr reflects upon his time as JCCIC Chairman as we approach #inauguration2017 https://t.co/D9tJ6IyCcK,,True,Wed Jan 18 21:29:47 +0000 2017,13,821831980472041472
72,Twitter for iPhone,"1st to be sworn will be our 48th VP, @mike_pence, by Justice Clarence Thomas. Then @realDonaldTrump by Chief Justice Roberts. #Inauguration",,False,Fri Jan 20 16:52:56 +0000 2017,36,822487085282185218
40,Twitter Web Client,"Welcome to the #Senate, @SenToddYoung, @JohnKennedyLA, @SenCortezMasto, @SenDuckworth, @SenatorHassan, @KamalaHarris, @ChrisVanHollen",,False,Tue Jan 03 17:29:08 +0000 2017,13,816335598566932480
14,Twitter Web Client,.@SenatorSessions' #AttorneyGeneral has begun in the Judiciary Cmte. Watch it here → https://t.co/sKcnLJrj2c,,False,Tue Jan 10 14:34:18 +0000 2017,9,818828318199975936
56,Twitter Web Client,#Obamacare promised lower costs but instead sent prices higher. It promised families could keep their Dr.s but instead their options limited,,False,Tue Jan 10 17:09:32 +0000 2017,31,818867382152298498
161,Twitter Web Client,"With less than 24 hours to go, I look forward to the swearing in of our 45th President, @realDonaldTrump. cc:… https://t.co/Ikt0eDJJnN",,False,Thu Jan 19 19:11:02 +0000 2017,40,822159449875955714
27,Twitter Web Client,#Senate Democrats praise General Kelly → “I’m a huge fan of General Kelly.” https://t.co/S5IJyj1yxl,,False,Tue Jan 10 21:50:37 +0000 2017,17,818938121668665345
38,Twitter Web Client,#Obamacare continues to hurt the American people. Now is the time to get rid of this failed law. https://t.co/6S0J92szWp via @FoxNews,,False,Mon Jan 09 16:14:35 +0000 2017,24,818491166257713152
424,Twitter Web Client,"John Kelly has been confirmed by the #Senate as Secretary of the @DHSgov, @POTUS' second cabinet confirmation. #Inauguration",,False,Fri Jan 20 23:15:42 +0000 2017,142,822583411546161153
60,Twitter Web Client,".@realDonaldTrump's pick for @usedgov, @BetsyDeVos, will fight ""to expand #education opportunities for children"" https://t.co/4GCcN4bMcD",,False,Tue Jan 17 22:59:13 +0000 2017,30,821492099346530308
98,Twitter for iPhone,"This morning, I had a productive meeting w President-elect @realDonaldTrump. We discussed the #Senate agenda, #Obamacare, &amp; Cabinet Nominees",,False,Mon Jan 09 17:36:50 +0000 2017,33,818511866234343424
