favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
1376,Twitter Web Client,Withdrawing from #TPP abdicates US leadership in #Asia to #China - US can't win if we forfeit opportunity https://t.co/psDxmNaeZ3,,False,Mon Jan 23 20:23:12 +0000 2017,795,823627161701650432
355,Twitter Web Client,Very proud of @cindymccain's leadership raising awareness &amp; fighting to end #humantrafficking https://t.co/IaRXF5ZlqN,,False,Thu Jan 12 19:45:42 +0000 2017,84,819631460307103744
121,Twitter Web Client,"Great news for Mohave County #Arizona! ""Rainbow trout stocking restarts at Willow Beach"" https://t.co/MTITp3LxcV",,False,Thu Jan 12 23:28:20 +0000 2017,24,819687487245262849
545,Twitter Web Client,President says he will defer to Sec #Mattis on torture - now it's time to move on https://t.co/I2slEq1VKH,,False,Fri Jan 27 18:51:19 +0000 2017,159,825053591807332353
0,Twitter Web Client,"RT @CBSThisMorning: ""The Chinese are now negotiating their own version of TPP… not good for the US."" -- @SenJohnMcCain on Trump’s withdrawa…",,True,Tue Jan 24 13:53:38 +0000 2017,439,823891512949936129
74,Twitter Web Client,"Death toll rises in #Afghanistan, yet still no strategy to defeat terrorism https://t.co/GMLX9tM8VO",,False,Tue Jan 10 20:26:40 +0000 2017,43,818916994451963905
205,Twitter for iPhone,Joining @foxandfriends in a few to discuss my white paper on rebuilding the military &amp; more - watch live,,False,Tue Jan 17 13:21:03 +0000 2017,29,821346599536361472
189,Twitter for iPhone,Joining @marthamaccallum's first night of new show #First100Days @FoxNews shortly to discuss my plan to rebuild mil… https://t.co/nbbzHDXGw6,,False,Tue Jan 17 00:27:51 +0000 2017,34,821152016223322112
153,Twitter Web Client,".@Reuters: ""McCain proposes $7.5 billion of new U.S. military funding for #Asia-Pacific"" https://t.co/j9KsIpuIam",,False,Tue Jan 24 15:54:07 +0000 2017,67,823921833040904192
228,Twitter for iPhone,"Must-read @WSJ: ""Trump’s #Asia Reassurance Project: Without a Trade Deal, Defense Spending Grows Even More Imp't"" https://t.co/JzeZeK3VPc",,False,Thu Jan 26 13:39:43 +0000 2017,123,824612785153863680
81,Twitter Web Client,".@dcexaminer: ""Aerospace Industries Association says McCain defense buildup plan 'overdue'"" https://t.co/XTKxHoVNM2",,False,Tue Jan 17 20:15:55 +0000 2017,34,821451002331168768
600,Twitter Web Client,Glad Senate voted to confirm Gen Kelly to Homeland Security Sec - America will benefit from his cont'd leadership https://t.co/sxWUny5e6B,,False,Fri Jan 20 23:26:10 +0000 2017,111,822586045560655873
