favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter for iPhone,"RT @NASAhistory: 50 years ago today we lost 3 members of our family: Grissom, White, Chaffee. We will never forget. #Apollo1 https://t.co/b…",,True,Fri Jan 27 15:42:18 +0000 2017,634,825006024117649408
0,Twitter for iPhone,"RT @JusticeWillett: 50 years ago today—

The world lost the brave heroes of Apollo 1.

🚀 Gus Grissom
🚀 Ed White
🚀 Roger Chaffee https://t.c…",,True,Fri Jan 27 15:41:40 +0000 2017,535,825005865191297024
0,Twitter for iPhone,"RT @glennbeck: Deadspin Editor Challenged Ted Cruz Supporters to a Fight, and Got Answered by Two U.S. Soldiers https://t.co/n80dfkMA2U htt…",,True,Fri Jan 27 05:10:58 +0000 2017,197,824847144532135938
0,Twitter for iPhone,"RT @WHORadio: Simon Conway: Liberal editor challenges Ted Cruz supporters to a fight, then backs out.   READ!  Likely saved... https://t.co…",,True,Thu Jan 26 22:54:28 +0000 2017,158,824752395062222850
0,Twitter for iPhone,"RT @glennbeck: UFC Fighter Tim Kennedy Promises to Match Glenn’s $50,000 Offer to the Deadspin Fight Winner https://t.co/Isn2tZ3yIC https:/…",,True,Thu Jan 26 19:54:10 +0000 2017,349,824707018363703296
0,Twitter for iPhone,RT @chicksonright: Remember how Deadspin lost it after Sen. Ted Cruz trolled them on Twitter? And how the Editor-in-Chief decided to... htt…,,True,Thu Jan 26 19:35:14 +0000 2017,201,824702255408504832
5098,Twitter Web Client,"This week, there will be another march on Washington. This one is to celebrate life, and all are welcome: https://t.co/duQd07K3g1",,False,Thu Jan 26 18:47:30 +0000 2017,1973,824690242540167174
0,Twitter for iPhone,RT @TEN_GOP: Ted Cruz introduces a bill that would allow states to bar refugee resettlement. RT if you support him! https://t.co/fuEgnoplTd,,True,Thu Jan 26 17:40:13 +0000 2017,7507,824673309447053312
0,Twitter for iPhone,"RT @chiproytx: NRO w/ @carrahroy: ""A Mother’s Love &amp; the March that Matters."" Our friend’s choice for life.. my Godson. https://t.co/QQOXDX…",,True,Thu Jan 26 15:39:57 +0000 2017,674,824643043030659073
0,Twitter for iPhone,RT @TheRightScoop: Deadspin editor challenges Ted Cruz supporters to a FIGHT… and gets a big surprise https://t.co/0LfLp8WTgP https://t.co/…,,True,Thu Jan 26 14:31:38 +0000 2017,279,824625853174861826
0,Twitter for iPhone,"RT @theblaze: Deadspin editor challenged Ted Cruz supporters to a fight, and got answered by two U.S. soldiers https://t.co/kNq59Dwl5m http…",,True,Thu Jan 26 14:31:04 +0000 2017,463,824625707187916801
0,Twitter for iPhone,"RT @foxnation: .@SenTedCruz to @oreillyfactor: President @realDonaldTrump, Unlike Obama, Supports Kate's Law: https://t.co/Y23M9GhATW",,True,Thu Jan 26 14:29:28 +0000 2017,250,824625307281948672
