favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter Web Client,"RT @WhiteHouse: Join us LIVE as @VP Pence participates in the swearing-in of Secretary of Veterans Affairs, Dr. David Shulkin: https://t.co…",,True,Tue Feb 14 19:53:59 +0000 2017,821,831592344570957824
10902,Twitter for iPhone,MO's people are inspiring the nation w/ their compassion for the Jewish community. Thank you for showing the world… https://t.co/fFM1xfnk32,,False,Wed Feb 22 21:45:01 +0000 2017,2994,834519387382149120
11268,Twitter for iPhone,Truly honored to have a discussion with an inspiring group of African American cadets at @WestPoint_USMA. Proud of… https://t.co/AHarunkQOE,,False,Thu Feb 09 23:01:49 +0000 2017,2467,829827671995609088
14203,Twitter for iPhone,"One week ago today, we witnessed the historic inauguration of a president who stands for the right to life - President @realDonaldTrump.",,False,Fri Jan 27 17:18:59 +0000 2017,2332,825030353270218753
4043,Twitter for iPhone,We'll replace ObamaCare with something that actually works–something that’s built on freedom and individual responsibility. #RJC,,False,Sat Feb 25 04:11:08 +0000 2017,718,835341333137010689
4658,Twitter for iPhone,LISTEN LIVE now as I join hardworking Americans in Missouri to discuss America's economic comeback: https://t.co/VgPq0m37zR,,False,Wed Feb 22 19:50:36 +0000 2017,816,834490592918958080
6427,Twitter for iPhone,"We’ll rein in the wasteful government spending and restore fiscal responsibility to Washington, D.C. #CPAC2017",,False,Fri Feb 24 01:05:09 +0000 2017,999,834932140689272832
4496,Twitter for iPhone,"Now, more than ever, we need to mobilize and march forward as if this time is the most important time in the history of our cause. #RJC",,False,Sat Feb 25 04:14:06 +0000 2017,879,835342080532570112
5512,Twitter for iPhone,"Today, I met Afghan @PresidentGhani to discuss U.S. support for Government of National Unity, CT cooperation, and e… https://t.co/18ShJnbMU6",,False,Sat Feb 18 12:43:16 +0000 2017,1175,832933502555414528
18114,Twitter for iPhone,"After riding in parade to the @WhiteHouse, we visited my new office &amp; added to a Pence family tradition with a phot… https://t.co/2kL3hwZ52m",,False,Fri Jan 20 22:37:19 +0000 2017,4152,822573752093380608
5742,Twitter for iPhone,.@POTUS has signed legislation to begin to roll back the reams of red tape and regulations issued under the Obama administration.,,False,Wed Feb 22 19:59:05 +0000 2017,975,834492727656062976
6092,Twitter for iPhone,"On behalf of @POTUS, I assure you—the US strongly supports NATO and will not waver in our commitment to our transatlantic alliance. #MSC2017",,False,Sat Feb 18 08:51:03 +0000 2017,1259,832875062277476353
5630,Twitter for iPhone,"Last November, the American people rose up and demanded a safer America, a more prosperous America, and a greater America. #CPAC2017",,False,Fri Feb 24 00:56:11 +0000 2017,950,834929883839070211
31932,Twitter for iPhone,It was my honor to speak at the @March_for_Life today w/ my family &amp; share the commitment of @POTUS to restore cult… https://t.co/edIXEnPKSw,,False,Fri Jan 27 18:56:53 +0000 2017,8167,825054991232692224
8642,Twitter for iPhone,"Grateful for @SenateMajLdr's strong support for President @realDonaldTrump's Supreme Court nominee, Judge Gorsuch. https://t.co/qngrd3mnoD",,False,Wed Feb 01 20:58:09 +0000 2017,1593,826897447268077570
5378,Twitter Web Client,Great discussion led by @POTUS w/ @RILAtweets on encouraging job creation &amp; economic growth through tax relief for… https://t.co/LOQ4LNN8Fq,,False,Wed Feb 15 16:21:38 +0000 2017,1116,831901290628268032
14754,Twitter for iPhone,Anyone who knows the Pence family knows we can't pass up good BBQ. Had to stop by Pappa's in Houston on the way to… https://t.co/uWqvWmNSR2,,False,Sun Feb 05 21:39:31 +0000 2017,2391,828357409563361280
5388,Twitter for iPhone,Great meeting with NATO ally Turkish PM @BA_Yildirim to discuss strength of the U.S.-Turkey alliance and our work t… https://t.co/qJFFZJ2MAI,,False,Sat Feb 18 18:29:53 +0000 2017,1248,833020731168583680
6372,Twitter for iPhone,"Just as US stood w/ Europe through end of the 20th Century, Europe stood w/ US at the outset of the 21st &amp; America will forever be grateful.",,False,Sat Feb 18 08:54:58 +0000 2017,1009,832876047305629696
7758,Twitter for iPhone,Spoke w/ Argentine Pres. @mauriciomacri on strengthening partnership and efforts to enhance job creation &amp; economic growth in our countries.,,False,Sat Feb 11 01:45:18 +0000 2017,1503,830231203148070913
9623,Twitter for iPhone,"ObamaCare is a job killer. We'll repeal ObamaCare once and for all &amp; eliminate its mandates, taxes &amp; intrusion into businesses &amp; your lives.",,False,Wed Feb 22 20:01:58 +0000 2017,1939,834493455997009920
5715,Twitter for iPhone,.@POTUS Trump has assembled the strongest conservative cabinet in my lifetime—bar none. #CPAC2017,,False,Fri Feb 24 00:58:19 +0000 2017,1221,834930423499214848
4416,Twitter for iPhone,We’re going to roll back job-killing regulations and we’re going to rescind unconstitutional executive orders signed by Barack Obama. #RJC,,False,Sat Feb 25 04:12:11 +0000 2017,872,835341596220542977
5486,Twitter for iPhone,"Our fight didn’t end on November 8. We won the day, but the harder battles and the most important work now lies ahead. #CPAC2017",,False,Fri Feb 24 00:56:52 +0000 2017,990,834930058699673600
10457,Twitter for iPhone,"Visiting new office in the House of Reps. Discussing @POTUS agenda to #MAGA, including repeal &amp; replace of ObamaCar… https://t.co/gTC5hAiscK",,False,Mon Feb 13 22:00:43 +0000 2017,1706,831261850583105536
7556,Twitter for iPhone,Japan has a strong ally in this administration. Look forward to partnering with Prime Minister @AbeShinzo and Japan https://t.co/cXljYvBSnC,,False,Fri Feb 10 22:44:52 +0000 2017,1793,830185796892241924
2994,Twitter for iPhone,"While @POTUS focuses on security at home and abroad, we’re also working tirelessly on a three-part agenda at home: jobs, jobs, &amp; jobs. #RJC",,False,Sat Feb 25 04:07:55 +0000 2017,503,835340524441608192
32733,Twitter for iPhone,Grateful to welcome King Abdullah II of Jordan this morning as first foreign leader to visit VP Residence. https://t.co/LXjWcD8jRi,,False,Mon Jan 30 20:20:25 +0000 2017,7876,826163177490628608
6211,Twitter for iPhone,Had a productive conversation w/ Chancellor Merkel on enduring U.S.-Germany partnership and cooperation on global c… https://t.co/DvBJaDX520,,False,Sat Feb 18 11:15:08 +0000 2017,1084,832911322199240704
19699,Twitter for iPhone,"Judge Gorsuch is one of the most mainstream, respected, and exceptionally qualified Supreme Court nominees in American history.",,False,Wed Feb 01 01:15:39 +0000 2017,4331,826599863748018176
10421,Twitter for iPhone,"The ObamaCare nightmare is about to end. Despite the best efforts of liberal activists around the country, America knows ObamaCare's failed.",,False,Wed Feb 22 20:00:31 +0000 2017,2230,834493091453206528
8156,Twitter for iPhone,"Second, know that our soldiers &amp; their families will always have @POTUS Trump and my prayers, and the prayers of the entire American people.",VP,False,Fri Feb 10 00:55:20 +0000 2017,1744,829856241144958976
10204,Twitter Web Client,"As @POTUS made clear, we are committed to working with Israel and our common allies in the region toward greater se… https://t.co/3Nil9YWgSW",,False,Wed Feb 15 23:09:58 +0000 2017,2111,832004053475454976
18667,Twitter for iPhone,The Dow closes above 20K for 1st time in history. US economy is being unleashed under President @realDonaldTrump. 🇺🇸 https://t.co/z4f7KdDMXm,,False,Wed Jan 25 22:34:29 +0000 2017,4782,824384975374086145
0,Twitter for iPhone,"RT @POTUS: Congratulations to our new Secretary of State Rex Tillerson, sworn-in this evening by @VP Mike Pence. https://t.co/YvLoJZUKj8",,True,Thu Feb 02 01:12:23 +0000 2017,10284,826961430784122880
3409,Twitter for iPhone,WATCH LIVE at noon as I join the Philadelphia @FedSoc to discuss the Constitution &amp; #SCOTUS nominee @GorsuchFacts. https://t.co/w6zuiBssf5,,False,Sat Feb 04 16:48:50 +0000 2017,644,827921870783705089
5508,Twitter for iPhone,Enjoyed visiting with my friend @GovChristie at the @WhiteHouse today. Looking forward to Chris and fellow governor… https://t.co/BxSLkmHeN1,,False,Tue Feb 14 23:42:51 +0000 2017,1032,831649940942254080
11592,Twitter for iPhone,"Tonight, @POTUS nominated a Supreme Court Justice who will uphold the God-given liberties enshrined in our constitu… https://t.co/KArN4gfRnM",,False,Wed Feb 01 01:13:34 +0000 2017,2455,826599338856083456
14890,Twitter for iPhone,Life is winning in America. Today's @March_for_Life is a celebration of the progress that we have made in the cause.,,False,Fri Jan 27 17:17:33 +0000 2017,3021,825029993159917568
11129,Twitter for iPhone,It was my privilege to administer the Oath of Office to the new United States Ambassador to the United Nations… https://t.co/G7qx7Qz1Mv,,False,Wed Jan 25 16:51:05 +0000 2017,2345,824298556777525248
45468,Twitter for iPhone,It is my distinct honor to administer the Oath of Office to this group of talented men &amp; women as Assistants to Pre… https://t.co/9XcoIyyoP3,,False,Sun Jan 22 20:00:56 +0000 2017,9283,823259172342992896
